residential_column_names,employment_column_names,mixed_column_names,combined_column_names,ignore_column_names
site_reference_id,site_reference_id,site_reference_id,site_reference_id,emp_distribution_profile
site_type_id,site_type_id,site_type_id,site_type_id,construction_status
site_Type,site_Type,site_Type,site_Type,development_type
active,active,active,active,End
local_authority_id,local_authority_id,local_authority_id,local_authority_id,end_year
local_authority,local_authority,local_authority,local_authority,local_authority
lpa_identifier,lpa_identifier,lpa_identifier,lpa_identifier,mix_distribution_profile
site_name,site_name,site_name,site_name,planning_status
site_address,site_address,site_address,site_address,res_distribution_profile
development_description,development_description,development_description,development_description,site_Type
easting,easting,easting,easting,Start
northing,northing,northing,northing,start_year
construction_status_id,construction_status_id,construction_status_id,construction_status_id,web_tag_certainty
construction_status,construction_status,construction_status,construction_status,
planning_status_id,planning_status_id,planning_status_id,planning_status_id,
planning_status,planning_status,planning_status,planning_status,
web_tag_certainty_id,web_tag_certainty_id,web_tag_certainty_id,web_tag_certainty_id,
web_tag_certainty,web_tag_certainty,web_tag_certainty,web_tag_certainty,
creator_id,creator_id,creator_id,creator_id,
creation_date,creation_date,creation_date,creation_date,
last_modified_by_id,last_modified_by_id,last_modified_by_id,last_modified_by_id,
last_updated_date,last_updated_date,last_updated_date,last_updated_date,
checked,checked,checked,checked,
geom,geom,geom,geom,
development_type_id,development_type_id,development_type_id,development_type_id,
development_type,development_type,development_type,development_type,
start_year_id,start_year_id,start_year_id,start_year_id,
start_year,start_year,start_year,start_year,
end_year_id,end_year_id,end_year_id,end_year_id,
end_year,end_year,end_year,end_year,
existing_land_use,existing_land_use,existing_land_use,existing_land_use,
proposed_land_use,proposed_land_use,proposed_land_use,proposed_land_use,
associated_lpa,associated_lpa,associated_lpa,associated_lpa,
test,test,test,test,
total_site_area_size_hectares,total_site_area_size_hectares,total_site_area_size_hectares,total_site_area_size_hectares,
total_units,total_units,total_units,total_units,
res_distribution_profile_id,res_distribution_profile_id,res_distribution_profile_id,distribution_profile_id,
res_distribution_profile,res_distribution_profile,res_distribution_profile,distribution_profile,
emp_sector_type_id,emp_sector_type_id,emp_sector_type_id,sector_type_id,
total_area_sqm,total_area_sqm,total_area_sqm,total_area_sqm,
emp_distribution_profile_id,emp_distribution_profile_id,emp_distribution_profile_id,distribution_profile_id,
emp_distribution_profile,emp_distribution_profile,emp_distribution_profile,distribution_profile,
site_area_ha,site_area_ha,site_area_ha,site_area_ha,
mix_sector_type_id,mix_sector_type_id,mix_sector_type_id,sector_type_id,
total_area_ha,total_area_ha,total_area_ha,total_area_ha,
mix_distribution_profile_id,mix_distribution_profile_id,mix_distribution_profile_id,distribution_profile_id,
mix_distribution_profile,mix_distribution_profile,mix_distribution_profile,distribution_profile,
floorspace_sqm,floorspace_sqm,floorspace_sqm,floorspace_sqm,
dwellings,dwellings,dwellings,dwellings,
Check,Check,Check,Check,
Start,Start,Start,Start,
End,End,End,End,
Periods,Periods,Periods,Periods,
Units_(dwellings),Units_(floorspace),Units_(dwellings),Units_(dwellings),
res_Distribution,emp_Distribution,res_Distribution,Distribution,
res_year_2000,emp_year_2000,res_year_2000,res_year_2000,
res_year_2006,emp_year_2006,res_year_2006,res_year_2006,
res_year_2011,emp_year_2011,res_year_2011,res_year_2011,
res_year_2016,emp_year_2016,res_year_2016,res_year_2016,
res_year_2021,emp_year_2021,res_year_2021,res_year_2021,
res_year_2026,emp_year_2026,res_year_2026,res_year_2026,
res_year_2031,emp_year_2031,res_year_2031,res_year_2031,
res_year_2036,emp_year_2036,res_year_2036,res_year_2036,
res_year_2041,emp_year_2041,res_year_2041,res_year_2041,
res_year_2046,emp_year_2046,res_year_2046,res_year_2046,
res_year_2051,emp_year_2051,res_year_2051,res_year_2051,
res_year_2056,emp_year_2056,res_year_2056,res_year_2056,
res_year_2061,emp_year_2061,res_year_2061,res_year_2061,
res_year_2066,emp_year_2066,res_year_2066,res_year_2066,
res_Check,emp_Check,res_Check,res_Check,
,,Units_(floorspace),Units_(floorspace),
,,emp_Distribution,emp_Distribution,
,,emp_year_2000,emp_year_2000,
,,emp_year_2006,emp_year_2006,
,,emp_year_2011,emp_year_2011,
,,emp_year_2016,emp_year_2016,
,,emp_year_2021,emp_year_2021,
,,emp_year_2026,emp_year_2026,
,,emp_year_2031,emp_year_2031,
,,emp_year_2036,emp_year_2036,
,,emp_year_2041,emp_year_2041,
,,emp_year_2046,emp_year_2046,
,,emp_year_2051,emp_year_2051,
,,emp_year_2056,emp_year_2056,
,,emp_year_2061,emp_year_2061,
,,emp_year_2066,emp_year_2066,
,,emp_Check,emp_Check,
