incomplete_land_use_codes,land_use_code
A,"A1, A2, A3, A4, A5"
B,"B1(a), B1(b), B1(c), B2, B8"
B1,"B1(a), B1(b), B1(c)"
C,"C1, C2, C2A, C3(a), C3(b), C3(c),  C4"
D,"D1, D2"
E,"E(a), E(b), E(c)(i), E(c)(ii), E(c)(iii), E(d), E(e), E(f), E(g)(i), E(g)(ii), E(g)(iii)"
E(c),"E(c)(i), E(c)(ii), E(c)(iii)"
E(g),"E(g)(i), E(g)(ii), E(g)(iii)"
F,"F1(a), F1(b), F1(c), F1(d), F1(e), F1(f), F1(g), F2(a), F2(b), F2(c), f2(d)"
F1,"F1(a), F1(b), F1(c), F1(d), F1(e), F1(f), F1(g)"
F2,"F2(a), F2(b), F2(c), f2(d)"
C3,"C3(a), C3(b), C3(c)"
Ec,"E(c)(i), E(c)(ii), E(c)(iii)"
Eg,"E(g)(i), E(g)(ii), E(g)(iii)"
