land_use_code,sic_code,Notes,links
B2,10,,https://onsdigital.github.io/dp-classification-tools/standard-industrial-classification/ONS_SIC_hierarchy_view.html
B2,11,,https://www.planningportal.co.uk/permission/common-projects/change-of-use/use-classes
B2,12,,
B2,13,,
B2,14,,
B2,15,,
B2,16,,
B2,17,,
B2,18,,
B2,19,,
B2,20,,
B2,21,,
B2,22,,
B2,23,,
B2,24,,
B2,25,,
B2,26,,
B2,27,,
B2,28,,
B2,29,,
B2,30,,
B2,31,,
B8,49,,
B8,50,,
B8,51,,
B8,52,,
B8,53,,
C1,55,clear option,
C2,87,closest option available,
C2A,87,closest option available,
C3(a),97,closest option available,
C3(b),97,closest option available,possibly 87?
C3(c),97,closest option available,
C4,97,closest option available,
E(a),45,,
E(a),46,clear option (assumes site is not selling vehicles),
E(a),47,,
E(b),56,clear option,
E(c)(i),64,,
E(c)(i),65,,
E(c)(i),66,,
E(c)(ii),69,,
E(c)(ii),70,,
E(c)(ii),71,,
E(c)(ii),72,,
E(c)(ii),73,,
E(c)(iii),74,multiple options available,
E(d),93,clear option,
E(e),86,clear option,
E(f),88,clear option,
E(g)(i),78,fairly certain,
E(g)(ii),72,one of two options,
E(g)(ii),74,,
E(g)(iii),32,multiple options available,
F1(a),85,clear option,
F1(b),90,clear option,
F1(c),91,clear option,
F1(d),91,clear option,
F1(e),91,closest option available,
F1(f),91,clear option,
F1(g),84,clear option,
F2(a),47,,
F2(b),91,closest option available,
F2(c),93,clear option,
F2(d),93,clear option,
SG,56,"There are relatively few SG sites, and all seem to have pretty easily categorised uses in terms of SIC when you read the description. This could be a place to use custom LUCs, as I can't think of any sensible ways to assign SICs to SG",
brownfield,,raise error if this exists,
greenfield,,raise error if this exists,
